Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],TWF,HDF,PWF,OSF,RNF
0.7467295873563673,-1.1057793207904283,-1.7594146924735963,2.0128354348840407,-1.5692982030070828,0.3347423741532867,-0.0688230736958462,-0.1026570632897704,-0.10194414990458771,-0.10122642371644433,-0.04313465258814658
-0.7416266516796721,1.840492473580391,1.5479732827897112,-1.055557181000935,1.099287329419476,-0.04108359475607377,-0.0688230736958462,-0.1026570632897704,-0.10194414990458771,-0.10122642371644433,-0.04313465258814658
-0.7416266516796721,-1.405400181234931,-1.4219261235691794,-0.25655440218097747,-0.16004516902901256,0.6009524354640837,-0.0688230736958462,-0.1026570632897704,-0.10194414990458771,-0.10122642371644433,-0.04313465258814658
0.7467295873563673,1.7905556635063262,1.5479732827897112,0.5036079637796765,-0.7597273111473404,1.8067274190482818,-0.0688230736958462,-0.1026570632897704,-0.10194414990458771,-0.10122642371644433,-0.04313465258814658
2.2350858263924067,0.4422617915060928,1.2779824276661549,3.3334094721003593,-2.348884987760909,-1.0119673477719215,-0.0688230736958462,-0.1026570632897704,-0.10194414990458771,-0.10122642371644433,-0.04313465258814658
-0.7416266516796721,0.19257774113568338,1.2104847138852945,-0.5894722266892931,0.21975352097926218,-1.4660903935373988,-0.0688230736958462,-0.1026570632897704,-0.10194414990458771,-0.10122642371644433,-0.04313465258814658
0.7467295873563673,-2.004641902123908,-2.231898688939772,2.8007409528870544,-1.7691922503798587,-0.9336702709158049,-0.0688230736958462,-0.1026570632897704,-0.10194414990458771,-0.10122642371644433,-0.04313465258814658
2.2350858263924067,1.041503512395098,1.0754892863235355,0.8975607227811834,-1.3793988580029457,-0.9649891016582516,-0.0688230736958462,-0.1026570632897704,-0.10194414990458771,-0.10122642371644433,-0.04313465258814658
0.7467295873563673,0.492198601580186,0.6030052898573213,1.2526730689233867,-1.5792929053757216,1.1177131427144544,-0.0688230736958462,-0.1026570632897704,-0.10194414990458771,-0.10122642371644433,-0.04313465258814658
-0.7416266516796721,1.9903029038026423,1.8854618516941282,0.015328487834146953,0.2697270328224562,1.415242034767698,-0.0688230736958462,-0.1026570632897704,-0.10194414990458771,-0.10122642371644433,-0.04313465258814658
